SMILES1,SMILES2,cocrystal
C1=CC=C(C=C1)C(C2=CC=CC=C2)C3=CC=CC=C3,C1=CC=C(C=C1)C2=CC=CC=C2,0
C1=CC=C(C=C1)C(C2=CC=CC=C2)C3=CC=CC=C3,C1=CC=C(C=C1)CC2=CC=CC=C2,0
C1=CC=C(C=C1)C2=CC=CC=C2,C1=CC=C(C=C1)CC2=CC=CC=C2,0
C1=CC=C2C=C(C(=CC2=C1)C(=O)O)O,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,0
C1=CC=C(C(=C1)Cl)Cl,C1CC2=CC=CC3=C2C1=CC=C3,0
C1=C(C=NC=C1Cl)Cl,C1=CC(=CC=C1Br)Br,0
C(CC(=O)N)C(=O)N,C1=CN=CC=C1C(=O)NN,0
C1=C(C=NC=C1Cl)Cl,C1=CC(=CC=C1I)I,0
C1=CC(=CC(=C1)O)C(=O)O,C1=CC=C(C=C1)C(=O)O,0
C1=CC(=CC=C1C(=O)O)Br,C1=CC=C(C=C1)C(=O)O,0
C1=CC(=CC=C1C(=O)O)Br,C1=CC(=CC=C1C(=O)O)O,0
C1=CC(=CC=C1C(=O)O)Cl,C1=CC=C(C=C1)C(=O)O,0
C1=CC=C(C=C1)C(=O)O,COC1=CC=C(C=C1)C(=O)O,0
C1=CC=C(C(=C1)C(=O)O)[N+](=O)[O-],C1=CC=C(C(=C1)C(=O)O)I,0
C1=CC2=C3C(=C1)C=CC4=CC=CC(=C43)C=C2,C1=CC=C2C(=C1)C3=CC=CC4=C3C2=CC=C4,0
C1=CC2=C3C(=C1)C=CC4=CC=CC(=C43)C=C2,C1=CC=C2C(=C1)C=CC3=C2C=CC4=CC=CC=C43,0
C1=CC2=C3C(=C1)C=CC4=CC=CC(=C43)C=C2,C1=CC=C2C(=C1)C=CC3=CC=CC=C32,0
C1=CC=C2C(=C1)C3=CC=CC4=C3C2=CC=C4,C1=CC=C2C(=C1)C=CC3=C2C=CC4=CC=CC=C43,0
C1=CC=C2C(=C1)C3=CC=CC4=C3C2=CC=C4,C1CC2=CC=CC3=C2C1=CC=C3,0
C1=CC=C2C(=C1)C3=CC=CC4=C3C2=CC=C4,C1=CC=C2C(=C1)C=CC3=CC=CC=C32,0
C1=CC=C2C(=C1)C=CC3=C2C=CC4=CC=CC=C43,C1=CC=C2C(=C1)C=CC3=CC=CC=C32,0
C1=CC=C2C(=C1)C=CC3=CC=CC=C32,CC1=C2C(=CC=C1)C=CC3=CC=CC(=C32)C,0
C1CC2=CC=CC3=C2C1=CC=C3,CC1=CC2=C(C=C1)C=CC(=C2)C,0
C1CC2=CC=CC3=C2C1=CC=C3,CC1=CC2=CC=CC=C2C=C1,0
C1=CC=C(C=C1)C2=CC=CC=C2,C1C2=CC=CC=C2C3=CC=CC=C31,0
C1=CC=C2C=CC=CC2=C1,C1C2=CC=CC=C2C3=CC=CC=C31,0
C1=CC=C2C=CC=CC2=C1,CC1=CC2=CC=CC=C2C=C1,0
C1=CC=C(C(=C1)C(=O)N)O,CC(=O)OC1=CC=CC=C1C(=O)O,0
C1=CC(=C(C(=C1)Cl)Cl)O,C1=CC(=C(C=C1Cl)Cl)O,0
C1=CC(=CC=C1Cl)Cl,C1=CC=C2C=CC=CC2=C1,0
C1=CC(=CC=C1Cl)Cl,C1=CC=C(C=C1)C2=CC=CC=C2,0
C1=CC=C(C=C1)C2=CC=CC=C2,C1=CC=C2C=CC=CC2=C1,0
C1=CN=CN1,C1=NC=NN1,0
C1=CC=C2C(=C1)C3=CC=CC=C3O2,C1=CC=C2C(=C1)C3=CC=CC=C3S2,0
C1=CC=C2C(=C1)C=CC3=CC=CC=C32,C1=CC=C2C=CC=CC2=C1,0
C1=CC=C(C=C1)C2=CC=CC=C2,C1=CC=C2C(=C1)C3=CC=CC=C3O2,0
C1=CC=C2C=C(C=CC2=C1)N,CC1=CC(=C(C=C1)[N+](=O)[O-])[N+](=O)[O-],0
C1=CC(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-],CC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-],0
C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])O,C1=CC(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-],0
C1=C(C=C(C(=C1[N+](=O)[O-])O)[N+](=O)[O-])[N+](=O)[O-],C1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],0
CC1=C(C(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])C)[N+](=O)[O-],CC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-],0
